scenario,snr_db,samples,average_wer,average_cer,average_latency,wer_delta
clean,,15,0.020872642403025,0.00482715730091223,1.4542562933328251,0.0
snr_20db,20,15,0.026933248463631057,0.009680371719344041,1.482115053307886,0.006060606060606058
snr_10db,10,15,0.059151615555404005,0.030558122123160756,1.4199840599981448,0.038278973152379006
snr_5db,5,15,0.11559131371523808,0.07732315787636229,1.446055673326676,0.09471867131221308
